liga,family,period,direction,predictions,hit_rate,brier
bundesliga,escanteios_handicap,FT,home_plus_2_5,1362,0.8046989720998532,0.147986634041962
bundesliga,escanteios_handicap,FT,home_plus_3_5,1362,0.8590308370044053,0.1161186779101738
bundesliga,escanteios_handicap,FT,home_plus_4_5,1362,0.906754772393539,0.08146127667864485
bundesliga,escanteios_handicap,HT,away_minus_1_5,1362,0.21365638766519823,0.4187373086866029
bundesliga,escanteios_handicap,HT,away_minus_2_5,1362,0.1130690161527166,0.6506424651557068
bundesliga,escanteios_handicap,HT,away_plus_1_5,1362,0.6424375917767988,0.4403855497060232
bundesliga,escanteios_handicap,HT,away_plus_2_5,1362,0.7804698972099853,0.6610265515530458
bundesliga,escanteios_handicap,HT,home_minus_1_5,1362,0.3575624082232012,0.22819847171460036
bundesliga,escanteios_handicap,HT,home_minus_2_5,1362,0.2195301027900147,0.1743406043383078
bundesliga,escanteios_handicap,HT,home_plus_1_5,1362,0.7863436123348018,0.1632738844747402
bundesliga,escanteios_handicap,HT,home_plus_2_5,1362,0.8869309838472834,0.09823733707249487
bundesliga,escanteios_oddeven,FT,impar,1362,0.4889867841409692,0.2499999931392554
bundesliga,escanteios_oddeven,FT,par,1362,0.5110132158590308,0.24999999313946428
bundesliga,escanteios_oddeven,HT,impar,1362,0.4919236417033774,0.24998117988600616
bundesliga,escanteios_oddeven,HT,par,1362,0.5080763582966226,0.24998117988600616
bundesliga,faltas,FT,over,19068,0.46129641283826306,0.19646107428963167
bundesliga,faltas,FT,under,19068,0.5387035871617369,0.19646107428963167
bundesliga,gols,2T,over,5448,0.42033773861967694,0.16996398877910693
bundesliga,gols,2T,under,5448,0.5796622613803231,0.16996398877910693
bundesliga,gols,FT,over,21792,0.39106093979441997,0.146856243813591
bundesliga,gols,FT,under,21792,0.60893906020558,0.146856243813591
bundesliga,gols,HT,over,10896,0.3506791483113069,0.1755188455657028
bundesliga,gols,HT,under,10896,0.6493208516886931,0.1755188455657028
bundesliga,gols_oddeven,FT,impar,1362,0.461086637298091,0.24934718906364933
bundesliga,gols_oddeven,FT,par,1362,0.5389133627019089,0.24934718906035067
bundesliga,gols_oddeven,HT,impar,1362,0.4713656387665198,0.25090753840057967
bundesliga,gols_oddeven,HT,par,1362,0.5286343612334802,0.2509075383992982
bundesliga,impedimentos,FT,over,13620,0.4845080763582966,0.2095187237803931
bundesliga,impedimentos,FT,under,13620,0.5154919236417034,0.2095187237803931
championship,1x2,FT,away,435,0.31494252873563217,0.22354075753132116
championship,1x2,FT,draw,435,0.25287356321839083,0.19268705462458513
championship,1x2,FT,home,435,0.432183908045977,0.25733098390589765
championship,1x2,HT,away,435,0.2482758620689655,0.18839692541545391
championship,1x2,HT,draw,435,0.4091954022988506,0.25073955709352735
championship,1x2,HT,home,435,0.3425287356321839,0.2298225423273926
championship,btts,FT,nao,435,0.432183908045977,0.2686236110042888
championship,btts,FT,sim,435,0.5678160919540229,0.2686236110042888
championship,btts,HT,nao,435,0.8137931034482758,0.15504900288188464
championship,btts,HT,sim,435,0.18620689655172415,0.15504900288188464
championship,cartoes,FT,over,6525,0.44613026819923374,0.16888266448250777
championship,cartoes,FT,under,6525,0.5538697318007663,0.16888266448250777
championship,cartoes,HT,over,3480,0.3031609195402299,0.16668138341809116
championship,cartoes,HT,under,3480,0.6968390804597702,0.16668138341809116
championship,cartoes_1x2,FT,away,435,0.49195402298850577,0.25167572133736593
championship,cartoes_1x2,FT,draw,435,0.23448275862068965,0.179403494200727
championship,cartoes_1x2,FT,home,435,0.2735632183908046,0.20226125603160527
championship,chutes,FT,over,10005,0.4862568715642179,0.2028026239152039
championship,chutes,FT,under,10005,0.5137431284357821,0.2028026239152039
championship,chutes,HT,over,5655,0.5916887709991159,0.21372069262970717
championship,chutes,HT,under,5655,0.4083112290008842,0.21372069262970717
championship,chutes_1x2,FT,away,435,0.3586206896551724,0.21106727333535594
championship,chutes_1x2,FT,draw,435,0.02528735632183908,0.026287880794188034
championship,chutes_1x2,FT,home,435,0.6160919540229886,0.21293996135881138
championship,chutes_1x2,HT,away,435,0.35402298850574715,0.2124345745505428
championship,chutes_1x2,HT,draw,435,0.07126436781609195,0.06780776413814171
championship,chutes_1x2,HT,home,435,0.5747126436781609,0.23229578676603543
championship,chutes_alvo,FT,over,7395,0.3971602434077079,0.19359276509944875
championship,chutes_alvo,FT,under,7395,0.602839756592292,0.19359276509944875
championship,chutes_alvo,HT,over,5220,0.4482758620689655,0.1977282130257641
championship,chutes_alvo,HT,under,5220,0.5517241379310345,0.1977282130257641
championship,chutes_alvo_1x2,FT,away,435,0.3816091954022989,0.23818966377903014
championship,chutes_alvo_1x2,FT,draw,435,0.08275862068965517,0.07956869185356587
championship,chutes_alvo_1x2,FT,home,435,0.535632183908046,0.26021537180292525
championship,chutes_alvo_1x2,HT,away,435,0.3264367816091954,0.22312350618123045
championship,chutes_alvo_1x2,HT,draw,435,0.19310344827586207,0.15737560371526677
championship,chutes_alvo_1x2,HT,home,435,0.4804597701149425,0.2590125715384719
championship,dupla,FT,12,435,0.7471264367816092,0.192687054620467
championship,dupla,FT,1x,435,0.6850574712643678,0.223540757533314
championship,dupla,FT,x2,435,0.5678160919540229,0.25733098390802295
