liga,family,period,direction,n,base_rate,mean_pred,brier,log_loss,accuracy
brasileirao-b,correct_score,FT,3_4,310,0.000000,0.000835,0.000003,0.000837,1.000000
brasileirao-b,correct_score,FT,4_0,310,0.009677,0.036919,0.011595,0.086201,0.990323
brasileirao-b,correct_score,FT,4_1,310,0.000000,0.020694,0.000642,0.021023,1.000000
brasileirao-b,correct_score,FT,4_2,310,0.009677,0.006913,0.009572,0.059450,0.990323
brasileirao-b,correct_score,FT,4_3,310,0.000000,0.001790,0.000010,0.001795,1.000000
brasileirao-b,correct_score,FT,4_4,310,0.000000,0.000406,0.000001,0.000407,1.000000
brasileirao-b,correct_score,FT,other_away,310,0.003226,0.001543,0.003252,0.046123,0.996774
brasileirao-b,correct_score,FT,other_draw,310,0.000000,0.000042,0.000000,0.000042,1.000000
brasileirao-b,correct_score,FT,other_home,310,0.003226,0.044037,0.007725,0.057906,0.996774
brasileirao-b,correct_score,HT,0_0,310,0.377419,0.409820,0.242808,0.679727,0.570968
brasileirao-b,correct_score,HT,0_1,310,0.151613,0.096115,0.129283,0.429577,0.848387
brasileirao-b,correct_score,HT,0_2,310,0.019355,0.014273,0.018855,0.091151,0.980645
brasileirao-b,correct_score,HT,1_0,310,0.193548,0.250723,0.159009,0.498327,0.806452
brasileirao-b,correct_score,HT,1_1,310,0.151613,0.064568,0.136402,0.481677,0.848387
brasileirao-b,correct_score,HT,1_2,310,0.019355,0.008842,0.019091,0.105304,0.980645
brasileirao-b,correct_score,HT,2_0,310,0.051613,0.089729,0.050297,0.208334,0.948387
brasileirao-b,correct_score,HT,2_1,310,0.016129,0.021618,0.015986,0.083392,0.983871
brasileirao-b,correct_score,HT,2_2,310,0.003226,0.003107,0.003228,0.022434,0.996774
brasileirao-b,correct_score,HT,other,310,0.016129,0.041206,0.017243,0.092298,0.983871
brasileirao-b,dnb,2T,away,197,0.375635,0.237270,0.276107,0.871901,0.604061
brasileirao-b,dnb,2T,home,197,0.624365,0.762730,0.276107,0.871901,0.604061
brasileirao-b,dnb,FT,away,211,0.364929,0.199893,0.260157,0.842486,0.630332
brasileirao-b,dnb,FT,home,211,0.635071,0.800107,0.260157,0.842486,0.630332
brasileirao-b,dnb,HT,away,145,0.420690,0.251240,0.248085,0.705735,0.600000
brasileirao-b,dnb,HT,home,145,0.579310,0.748760,0.248085,0.705735,0.600000
brasileirao-b,dupla,2T,12,310,0.635484,0.631288,0.241061,0.678289,0.622581
brasileirao-b,dupla,2T,1x,310,0.761290,0.861920,0.195847,0.662896,0.761290
brasileirao-b,dupla,2T,x2,310,0.603226,0.506791,0.273444,0.746113,0.509677
brasileirao-b,dupla,FT,12,310,0.680645,0.750328,0.223649,0.648739,0.680645
brasileirao-b,dupla,FT,1x,310,0.751613,0.854801,0.198752,0.671365,0.748387
brasileirao-b,dupla,FT,x2,310,0.567742,0.394870,0.279614,0.770872,0.509677
brasileirao-b,dupla,HT,12,310,0.467742,0.522411,0.263143,0.720918,0.500000
brasileirao-b,dupla,HT,1x,310,0.803226,0.877497,0.158186,0.501752,0.803226
brasileirao-b,dupla,HT,x2,310,0.729032,0.600093,0.216005,0.621974,0.661290
brasileirao-b,escanteios,FT,over,6200,0.400968,0.447396,0.199594,0.588378,0.695968
brasileirao-b,escanteios,FT,under,6200,0.599032,0.552604,0.199594,0.588378,0.695968
brasileirao-b,escanteios,HT,over,4650,0.441290,0.415213,0.181695,0.547727,0.733333
brasileirao-b,escanteios,HT,under,4650,0.558710,0.584787,0.181695,0.547727,0.733333
brasileirao-b,escanteios_1x2,FT,away,310,0.322581,0.338424,0.188808,0.557763,0.729032
brasileirao-b,escanteios_1x2,FT,draw,310,0.067742,0.102863,0.065212,0.258406,0.932258
brasileirao-b,escanteios_1x2,FT,home,310,0.609677,0.558713,0.206266,0.586664,0.687097
brasileirao-b,escanteios_1x2,HT,away,310,0.341935,0.332713,0.207367,0.597431,0.693548
brasileirao-b,escanteios_1x2,HT,draw,310,0.164516,0.184278,0.139053,0.451582,0.835484
brasileirao-b,escanteios_1x2,HT,home,310,0.493548,0.483008,0.233828,0.649962,0.567742
brasileirao-b,escanteios_exato,FT,eq_0,310,0.009677,0.000965,0.009577,0.088598,0.990323
brasileirao-b,escanteios_exato,FT,eq_1,310,0.006452,0.004342,0.006050,0.025074,0.993548
brasileirao-b,escanteios_exato,FT,eq_10,310,0.109677,0.107055,0.096495,0.336570,0.890323
